comparison	gene	log2FoldChange_A1excl	padj_A1excl	log2FoldChange_A1incl	padj_A1incl
ADR_B_vs_A	Magi2	-1.01855647286278	0.0245257908785595	-0.766762227721797	0.134212746142429
ADR_B_vs_A	Wt1	-0.707745833589683	0.0497609308366594	-0.611131480957064	0.0683386762169597
ADR_B_vs_A	Edn1	0.885593604220137	0.0514779202536168	1.0215247648449	0.00946038664047232
ADR_B_vs_A	Nphs1	-0.780471569193716	0.0638221768188587	-0.627624418010424	0.126944687256514
ADR_B_vs_A	Cd2ap	-0.477142092647531	0.168440756358086	-0.348518785826002	0.317203647481037
ADR_B_vs_A	Klf15	-0.57897983202113	0.176770064025454	-0.949985257609666	0.0256732992740607
ADR_B_vs_A	Nphs2	-0.666592191038769	0.178269893047874	-0.64294300484411	0.11719694168463
ADR_B_vs_A	Podxl	-0.379221161108268	0.278406875226585	-0.215904490088628	0.605116599022086
ADR_B_vs_A	Ptpro	-0.465715131804598	0.283184565729383	-0.292930536487711	0.534468208789512
ADR_B_vs_A	Foxc2	-0.526038856101818	0.285714624132057	-0.512700799593951	0.196523200984538
ADR_B_vs_A	Jag1	-0.202358609649731	0.370091789157668	-0.0317315609026344	0.949453016068599
ADR_B_vs_A	Iqgap1	0.267412249306498	0.380637831761889	0.464904270245296	0.147336628466996
ADR_B_vs_A	Ampd2	0.343055530506671	0.396707170550235	0.446725666889474	0.154380722671324
ADR_B_vs_A	Ednra	-0.184048135912718	0.613018711288211	-0.0720502952311362	0.867970577199731
ADR_B_vs_A	Ext1	0.117666710825655	0.616070977590129	0.121242765097307	0.492081910748092
ADR_B_vs_A	Prom1	-0.324503242328327	0.692791541938611	-0.645095935438546	0.29163216656972
ADR_B_vs_A	Notch2	-0.158935977104485	0.724426729899304	0.160363883341858	0.824645078076174
ADR_B_vs_A	Ednrb	0.162311856773547	0.729673947975902	0.193004045619948	0.615267528406501
ADR_B_vs_A	Cd24a	0.0947061799135682	0.845604906161322	0.0516299918566207	0.919077363682605
ADR_B_vs_A	Lamb2	-0.0665959111223827	0.846340976195863	0.0826129607648142	0.83789377440597
ADR_B_vs_A	Asxl1	0.0533676209101708	0.906882751512229	0.246672642956178	0.551042607576393
ADR_B_vs_A	Basp1	-0.0634641543392429	0.91007977706545	-0.0600168908675377	0.90866633313168
ADR_B_vs_A	Foxj1	0.125666750817987	0.929302106263391	-0.148352101931564	0.906092891438489
ADR_B_vs_A	Myo1e	-0.0141031226405661	0.974468577543922	0.132360733211678	0.737679832045847
A_ADR_vs_Ctrl	Magi2	-1.08410061088753	0.0228186504193215	-1.33079737756864	0.00608942408383097
A_ADR_vs_Ctrl	Foxj1	-1.51362377339318	0.121276973388455	-1.23505076072126	0.15393195704516
A_ADR_vs_Ctrl	Foxc2	-0.703654424840777	0.189175176232581	-0.712646659914212	0.11929872368302
A_ADR_vs_Ctrl	Nphs2	-0.599171893541075	0.420990499016334	-0.618406064842342	0.312822502009261
A_ADR_vs_Ctrl	Cd2ap	-0.386679511613179	0.510698011649702	-0.509951811429562	0.243696278331139
A_ADR_vs_Ctrl	Podxl	-0.313485884527892	0.63810096849597	-0.471548216935271	0.33972372122538
A_ADR_vs_Ctrl	Klf15	0.398490118181572	0.657850567939494	0.776364042746135	0.184958363736253
A_ADR_vs_Ctrl	Asxl1	0.272553543589203	0.693505654483623	0.0852627417099411	0.970376439015983
A_ADR_vs_Ctrl	Ptpro	-0.336302559674611	0.736587005088181	-0.504200812465774	0.447869446592164
A_ADR_vs_Ctrl	Cd24a	-0.263035314883993	0.766551800486158	-0.215052128344918	0.843267769265956
A_ADR_vs_Ctrl	Jag1	0.150414446202266	0.783978753855427	-0.0145120469805513	0.996589412650878
A_ADR_vs_Ctrl	Basp1	0.276978559869167	0.795979577839301	0.278789495956137	0.765100286880321
A_ADR_vs_Ctrl	Iqgap1	0.180727274256277	0.822396980164167	-0.0106313115281165	1
A_ADR_vs_Ctrl	Notch2	0.202108535349909	0.852960462064204	-0.110969900606007	0.973391699728101
A_ADR_vs_Ctrl	Wt1	-0.225802714911354	0.866891703898804	-0.317286404240328	0.767563420937366
A_ADR_vs_Ctrl	Nphs1	-0.25370268143649	0.871880130066727	-0.401997822479237	0.724942861152949
A_ADR_vs_Ctrl	Ednrb	0.179284100267639	0.886075864121437	0.154733605342004	0.923735579525618
A_ADR_vs_Ctrl	Lamb2	0.11742613421115	0.889431705001382	-0.0261285874208999	0.99063327073587
A_ADR_vs_Ctrl	Ext1	0.0639368348574497	0.935912667137191	0.0664503261963375	0.9360236100273
A_ADR_vs_Ctrl	Edn1	0.169433203286303	0.937080158444589	0.0397857767400228	0.992782202151827
A_ADR_vs_Ctrl	Myo1e	-0.0588568475700648	0.963499253354686	-0.199665438417416	0.854859725375359
A_ADR_vs_Ctrl	Ednra	-0.0598402141296903	0.967250247364903	-0.166111624256647	0.889151781936118
A_ADR_vs_Ctrl	Prom1	-0.122544818311752	0.969563039011409	0.206327664447339	0.949903869523372
A_ADR_vs_Ctrl	Ampd2	0.0254674276998202	0.988430182008572	-0.0725419109338041	0.973597853241122
