comparison	pathway	NES	pval	FDR	size
baseline_B_vs_A	REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT	-3.15291194279699	6.11195687587711e-36	7.90276024050911e-33	204
baseline_B_vs_A	REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	-2.94845932022252	4.0978047901832e-30	2.64923079685344e-27	226
baseline_B_vs_A	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	-3.18545448626679	4.68549666779021e-28	2.01944906381758e-25	123
baseline_B_vs_A	REACTOME_TRANSLATION	-2.61717931945131	6.82834144988709e-23	2.207261373676e-20	275
baseline_B_vs_A	REACTOME_MITOCHONDRIAL_TRANSLATION	-2.86208410099131	4.59155183125446e-18	1.1873753035624e-15	93
baseline_B_vs_A	REACTOME_MITOCHONDRIAL_RIBOSOME_ASSOCIATED_QUALITY_CONTROL	-2.83639836213017	2.5474328395065e-17	5.4897177691365e-15	88
baseline_B_vs_A	REACTOME_COMPLEX_I_BIOGENESIS	-2.9025093293147	1.85181032477387e-16	3.42055821418945e-14	57
baseline_B_vs_A	TABULA_MURIS_SENIS_KIDNEY_PODOCYTE_AGEING	-2.50417750938653	3.69060932739806e-16	5.96494732540711e-14	193
ADR_B_vs_A	REACTOME_TRANSLATION	2.84104289682966	6.62781159149896e-31	8.56976038780816e-28	275
ADR_B_vs_A	REACTOME_RIBOSOME_ASSOCIATED_QUALITY_CONTROL	3.00231283557688	1.31551988330753e-25	8.50483604558316e-23	131
ADR_B_vs_A	REACTOME_NEUTROPHIL_DEGRANULATION	2.35925031131728	1.49787943690696e-22	6.45586037306901e-20	442
ADR_B_vs_A	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	2.35465452154286	1.89107915385054e-21	6.11291336482188e-19	426
ADR_B_vs_A	REACTOME_MAJOR_PATHWAY_OF_RRNA_PROCESSING_IN_THE_NUCLEOLUS_AND_CYTOSOL	2.74955904031885	1.0627149989268e-20	2.7481809872247e-18	170
ADR_B_vs_A	REACTOME_RIBOSOME_QUALITY_CONTROL_RQC_COMPLEX_EXTRACTS_AND_DEGRADES_NASCENT_PEPTIDE	2.94275921989551	2.34479145806119e-20	5.05302559212187e-18	91
ADR_B_vs_A	REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION	2.94791408651568	5.28908166171973e-18	9.76968941229087e-16	58
ADR_B_vs_A	REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT	2.86165304452209	9.60156371318851e-17	1.55185273514409e-14	60
A_ADR_vs_Ctrl	REACTOME_TRANSLATION	-2.6614685283298	7.29423629283259e-23	9.43144752663254e-20	275
A_ADR_vs_Ctrl	REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT	-2.33385222985603	1.28489055411128e-12	8.30681743232941e-10	204
A_ADR_vs_Ctrl	REACTOME_MITOCHONDRIAL_RIBOSOME_ASSOCIATED_QUALITY_CONTROL	-2.53144504813397	2.42322376056757e-11	8.27047650304545e-09	88
A_ADR_vs_Ctrl	REACTOME_MITOCHONDRIAL_TRANSLATION	-2.4843510815813	2.5585387480419e-11	8.27047650304545e-09	93
A_ADR_vs_Ctrl	REACTOME_RIBOSOME_ASSOCIATED_QUALITY_CONTROL	-2.35166823457433	5.24953283563999e-11	1.14924118935098e-08	131
A_ADR_vs_Ctrl	REACTOME_COMPLEX_I_BIOGENESIS	-2.60693655233317	5.33290575104863e-11	1.14924118935098e-08	57
A_ADR_vs_Ctrl	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	-2.37055488509779	6.50741843376924e-11	1.20201314783766e-08	123
A_ADR_vs_Ctrl	REACTOME_MAJOR_PATHWAY_OF_RRNA_PROCESSING_IN_THE_NUCLEOLUS_AND_CYTOSOL	-2.14115554023798	7.18623971423912e-10	1.03428005207454e-07	170
B_ADR_vs_Ctrl	REACTOME_TRANSLATION	2.43505003889793	1.71453603336089e-19	2.21689509113564e-16	275
B_ADR_vs_Ctrl	REACTOME_PROTEASOME_ASSEMBLY	2.69895282920372	3.00274240494457e-14	1.94127296479667e-11	47
B_ADR_vs_Ctrl	REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT	2.62253026709502	1.92301371051668e-13	5.92590410512281e-11	60
B_ADR_vs_Ctrl	REACTOME_REGULATION_OF_ORNITHINE_DECARBOXYLASE_ODC	2.68601761878968	2.47447260987268e-13	5.92590410512281e-11	37
B_ADR_vs_Ctrl	REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES	2.62330207554896	2.59411909827885e-13	5.92590410512281e-11	40
B_ADR_vs_Ctrl	REACTOME_RIBOSOME_QUALITY_CONTROL_RQC_COMPLEX_EXTRACTS_AND_DEGRADES_NASCENT_PEPTIDE	2.53956885070961	2.74983949193634e-13	5.92590410512281e-11	91
B_ADR_vs_Ctrl	REACTOME_METABOLISM_OF_POLYAMINES	2.60965068315745	3.63506470819914e-13	6.71448381100213e-11	45
B_ADR_vs_Ctrl	REACTOME_DECTIN_1_MEDIATED_NONCANONICAL_NF_KB_SIGNALING	2.62102572141832	1.21756649527858e-12	1.95283555266823e-10	44
