comparison	pathway	NES_joint	pval_joint	FDR_joint	size
baseline_B_vs_A	TABULA_MURIS_SENIS_KIDNEY_PODOCYTE_AGEING	-1.87437375849413	6.91541567116044e-08	4.47427393924081e-05	193
baseline_B_vs_A	REACTOME_INTEGRIN_SIGNALING	0.941187661776128	0.544885177453027	1	27
baseline_B_vs_A	GOBP_GLOMERULAR_EPITHELIAL_CELL_DIFFERENTIATION	0.5286709113279	0.989495798319328	1	24
baseline_B_vs_A	KARAISKOS2018_PODOCYTE_EXCLUSIVE	1.28944304163117	0.165668662674651	0.834144939692599	12
baseline_B_vs_A	KARAISKOS2018_PODOCYTE_TOP50	1.59122725394741	0.0106676273917692	0.281712445815293	49
baseline_B_vs_A	TABULA_MURIS_SENIS_KIDNEY_PODOCYTE_AGEING_single	-1.89542382462018	1.12008002690393e-07	1.12008002690393e-07	193
ADR_B_vs_A	TABULA_MURIS_SENIS_KIDNEY_PODOCYTE_AGEING	-1.09264351142202	0.24229296274086	0.775697309496104	193
ADR_B_vs_A	REACTOME_INTEGRIN_SIGNALING	1.40231933360087	0.0715328467153285	0.510390730925675	27
ADR_B_vs_A	GOBP_GLOMERULAR_EPITHELIAL_CELL_DIFFERENTIATION	-1.23329135708987	0.173780487804878	0.700430845945237	24
ADR_B_vs_A	KARAISKOS2018_PODOCYTE_EXCLUSIVE	-1.60894731216274	0.0125077679446311	0.185920510421787	12
ADR_B_vs_A	KARAISKOS2018_PODOCYTE_TOP50	-1.48591363541557	0.0203356474179201	0.238899840124938	49
ADR_B_vs_A	TABULA_MURIS_SENIS_KIDNEY_PODOCYTE_AGEING_single	-1.08576026057822	0.175404421788358	0.175404421788358	193
A_ADR_vs_Ctrl	TABULA_MURIS_SENIS_KIDNEY_PODOCYTE_AGEING	NA	NA	NA	193
A_ADR_vs_Ctrl	REACTOME_INTEGRIN_SIGNALING	0.940147508495551	0.57210401891253	1	27
A_ADR_vs_Ctrl	GOBP_GLOMERULAR_EPITHELIAL_CELL_DIFFERENTIATION	-1.27499662160838	0.164772727272727	1	24
A_ADR_vs_Ctrl	KARAISKOS2018_PODOCYTE_EXCLUSIVE	-1.2447979809116	0.21875	1	12
A_ADR_vs_Ctrl	KARAISKOS2018_PODOCYTE_TOP50	-1.63078800293856	0.00507960504097871	0.295771548067897	49
A_ADR_vs_Ctrl	TABULA_MURIS_SENIS_KIDNEY_PODOCYTE_AGEING_single	NA	NA	NA	193
B_ADR_vs_Ctrl	TABULA_MURIS_SENIS_KIDNEY_PODOCYTE_AGEING	0.710840335044626	0.986	1	193
B_ADR_vs_Ctrl	REACTOME_INTEGRIN_SIGNALING	1.20970892130957	0.198430493273543	1	27
B_ADR_vs_Ctrl	GOBP_GLOMERULAR_EPITHELIAL_CELL_DIFFERENTIATION	-1.79774576517531	0.00201243844728611	0.085662796572812	24
B_ADR_vs_Ctrl	KARAISKOS2018_PODOCYTE_EXCLUSIVE	-1.90052600100048	0.000567388428114633	0.0289822009080955	12
B_ADR_vs_Ctrl	KARAISKOS2018_PODOCYTE_TOP50	-2.22700339597834	1.62180465653999e-07	7.17376132091064e-05	49
B_ADR_vs_Ctrl	TABULA_MURIS_SENIS_KIDNEY_PODOCYTE_AGEING_single	0.714039914616885	0.979020979020979	0.979020979020979	193
