x	y
0	0
170	-0.00865800865800866
171	0.0736680143633597
402	0.0619033084810068
403	0.129446286994063
540	0.122468950604962
541	0.184722447287507
717	0.175758861853334
718	0.233016963632394
948	0.221303187212735
949	0.273324353856123
994	0.271032528034885
995	0.3222854970269
1104	0.316734185593236
1105	0.366090817640211
1188	0.361863672236595
1189	0.409916568480881
1295	0.404518045435299
1296	0.450619419825358
1301	0.450364772511887
1302	0.49645237094208
1473	0.487743432821377
1474	0.531542854745827
1584	0.525940613849468
1585	0.568233031424197
2024	0.545874997301457
2025	0.583823759677428
2227	0.573536008213206
2228	0.609694383835646
2995	0.570631485949219
2996	0.601059622145021
3090	0.596272252651769
3091	0.626061428854162
3314	0.614704158673362
3315	0.643153355639862
4132	0.601543984618726
4133	0.625357222615535
4554	0.603915918821289
4555	0.625595791914821
5149	0.595343691074485
5150	0.614606706666235
5303	0.606814498874027
5304	0.625360424350973
6225	0.578454389209644
6226	0.593118180117989
7512	0.527622891093288
7513	0.53750088970109
13074	0.254282147658818
13075	0.264403024297847
14348	0.199569818288171
14349	0.215030403657506
15668	0.147854442363897
15669	0.169437732662939
17607	0.0707364339616401
17608	0.104609116373822
19663	0
