comparison	a1_status	pathway	genome_wide_rank	n_sets_tested
baseline_B_vs_A	A1_excluded_main	TABULA_MURIS_SENIS_KIDNEY_PODOCYTE_AGEING	8	1293
baseline_B_vs_A	A1_excluded_main	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	9	1293
baseline_B_vs_A	A1_excluded_main	KARAISKOS2018_PODOCYTE_TOP50	21	1293
baseline_B_vs_A	A1_excluded_main	REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	41	1293
baseline_B_vs_A	A1_excluded_main	REACTOME_INTEGRIN_SIGNALING	154	1293
baseline_B_vs_A	A1_excluded_main	KARAISKOS2018_PODOCYTE_EXCLUSIVE	235	1293
ADR_B_vs_A	A1_excluded_main	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	55	1293
ADR_B_vs_A	A1_excluded_main	TABULA_MURIS_SENIS_KIDNEY_PODOCYTE_AGEING	111	1293
ADR_B_vs_A	A1_excluded_main	REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	121	1293
ADR_B_vs_A	A1_excluded_main	KARAISKOS2018_PODOCYTE_EXCLUSIVE	132	1293
ADR_B_vs_A	A1_excluded_main	KARAISKOS2018_PODOCYTE_TOP50	153	1293
ADR_B_vs_A	A1_excluded_main	REACTOME_INTEGRIN_SIGNALING	170	1293
A_ADR_vs_Ctrl	A1_excluded_main	KARAISKOS2018_PODOCYTE_TOP50	16	1293
A_ADR_vs_Ctrl	A1_excluded_main	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	35	1293
A_ADR_vs_Ctrl	A1_excluded_main	KARAISKOS2018_PODOCYTE_EXCLUSIVE	144	1293
A_ADR_vs_Ctrl	A1_excluded_main	TABULA_MURIS_SENIS_KIDNEY_PODOCYTE_AGEING	155	1293
A_ADR_vs_Ctrl	A1_excluded_main	REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	347	1293
A_ADR_vs_Ctrl	A1_excluded_main	REACTOME_INTEGRIN_SIGNALING	1204	1293
B_ADR_vs_Ctrl	A1_excluded_main	KARAISKOS2018_PODOCYTE_TOP50	11	1293
B_ADR_vs_Ctrl	A1_excluded_main	TABULA_MURIS_SENIS_KIDNEY_PODOCYTE_AGEING	43	1293
B_ADR_vs_Ctrl	A1_excluded_main	KARAISKOS2018_PODOCYTE_EXCLUSIVE	76	1293
B_ADR_vs_Ctrl	A1_excluded_main	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	89	1293
B_ADR_vs_Ctrl	A1_excluded_main	REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	137	1293
B_ADR_vs_Ctrl	A1_excluded_main	REACTOME_INTEGRIN_SIGNALING	274	1293
ADR_B_vs_A	A1_included_sens	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	4	1294
ADR_B_vs_A	A1_included_sens	REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	29	1294
ADR_B_vs_A	A1_included_sens	TABULA_MURIS_SENIS_KIDNEY_PODOCYTE_AGEING	33	1294
ADR_B_vs_A	A1_included_sens	REACTOME_INTEGRIN_SIGNALING	48	1294
ADR_B_vs_A	A1_included_sens	KARAISKOS2018_PODOCYTE_TOP50	152	1294
ADR_B_vs_A	A1_included_sens	KARAISKOS2018_PODOCYTE_EXCLUSIVE	215	1294
A_ADR_vs_Ctrl	A1_included_sens	TABULA_MURIS_SENIS_KIDNEY_PODOCYTE_AGEING	2	1294
A_ADR_vs_Ctrl	A1_included_sens	KARAISKOS2018_PODOCYTE_TOP50	11	1294
A_ADR_vs_Ctrl	A1_included_sens	KARAISKOS2018_PODOCYTE_EXCLUSIVE	37	1294
A_ADR_vs_Ctrl	A1_included_sens	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	435	1294
A_ADR_vs_Ctrl	A1_included_sens	REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	607	1294
A_ADR_vs_Ctrl	A1_included_sens	REACTOME_INTEGRIN_SIGNALING	746	1294
